DATE;COURSE;STUDY LOCATION;TOTAL MINUTES STUDIED;09.00 - 12.00;12.00 - 17.00;17.00 - 21.00;21.00 - 00.00;00.00 - 03.00
7.10.2024;CS308;None;0;0;0;0;0;0
8.10.2024;CS308;None;0;0;0;0;0;0
9.10.2024;CS308;None;0;0;0;0;0;0
10.10.2024;CS308;None;0;0;0;0;0;0
11.10.2024;CS308;None;0;0;0;0;0;0
12.10.2024;CS308;None;0;0;0;0;0;0
13.10.2024;CS308;Room;85;42;39;4;0;0
14.10.2024;CS308;None;0;0;0;0;0;0
15.10.2024;CS308;None;0;0;0;0;0;0
16.10.2024;CS308;None;0;0;0;0;0;0
17.10.2024;CS308;Room;107;79;28;0;0;0
18.10.2024;CS308;Room;173;122;41;10;0;0
19.10.2024;CS308;None;0;0;0;0;0;0
20.10.2024;CS308;None;0;0;0;0;0;0
21.10.2024;CS308;None;0;0;0;0;0;0
22.10.2024;CS308;None;0;0;0;0;0;0
23.10.2024;CS308;None;0;0;0;0;0;0
24.10.2024;CS308;None;0;0;0;0;0;0
25.10.2024;CS308;None;0;0;0;0;0;0
26.10.2024;CS308;None;0;0;0;0;0;0
27.10.2024;CS308;Room;107;43;35;29;0;0
28.10.2024;CS308;None;0;0;0;0;0;0
29.10.2024;CS308;None;0;0;0;0;0;0
30.10.2024;CS308;None;0;0;0;0;0;0
31.10.2024;CS308;None;0;0;0;0;0;0
1.11.2024;CS308;None;0;0;0;0;0;0
2.11.2024;CS308;None;0;0;0;0;0;0
3.11.2024;CS308;None;0;0;0;0;0;0
4.11.2024;CS308;IC;165;63;32;59;11;0
5.11.2024;CS308;Room;49;31;18;0;0;0
6.11.2024;CS308;None;0;0;0;0;0;0
7.11.2024;CS308;None;0;0;0;0;0;0
8.11.2024;CS308;IC;177;142;34;1;0;0
9.11.2024;CS308;IC;56;32;24;0;0;0
10.11.2024;CS308;None;0;0;0;0;0;0
11.11.2024;CS308;IC;54;54;0;0;0;0
12.11.2024;CS308;None;0;0;0;0;0;0
13.11.2024;CS308;None;0;0;0;0;0;0
14.11.2024;CS308;Room;130;114;16;0;0;0
15.11.2024;CS308;IC;85;82;3;0;0;0
16.11.2024;CS308;None;0;0;0;0;0;0
17.11.2024;CS308;IC;178;82;86;10;0;0
18.11.2024;CS308;None;0;0;0;0;0;0
19.11.2024;CS308;None;0;0;0;0;0;0
20.11.2024;CS308;None;0;0;0;0;0;0
21.11.2024;CS308;Room;39;30;9;0;0;0
22.11.2024;CS308;None;0;0;0;0;0;0
23.11.2024;CS308;None;0;0;0;0;0;0
24.11.2024;CS308;None;0;0;0;0;0;0
25.11.2024;CS308;Room;202;150;38;14;0;0
26.11.2024;CS308;Room;260;88;59;81;30;2
27.11.2024;CS308;None;0;0;0;0;0;0
28.11.2024;CS308;IC;183;135;32;16;0;0
29.11.2024;CS308;Room;368;135;32;16;60;125
30.11.2024;CS308;None;0;0;0;0;0;0
1.12.2024;CS308;None;0;0;0;0;0;0
2.12.2024;CS308;None;0;0;0;0;0;0
3.12.2024;CS308;None;0;0;0;0;0;0
4.12.2024;CS308;None;0;0;0;0;0;0
5.12.2024;CS308;None;0;0;0;0;0;0
6.12.2024;CS308;None;0;0;0;0;0;0
7.12.2024;CS308;None;0;0;0;0;0;0
8.12.2024;CS308;None;0;0;0;0;0;0
9.12.2024;CS308;None;0;0;0;0;0;0
10.12.2024;CS308;None;0;0;0;0;0;0
11.12.2024;CS308;Room;106;42;33;30;1;0
12.12.2024;CS308;IC;162;82;80;0;0;0
13.12.2024;CS308;None;0;0;0;0;0;0
14.12.2024;CS308;None;0;0;0;0;0;0
15.12.2024;CS308;None;0;0;0;0;0;0
16.12.2024;CS308;None;0;0;0;0;0;0
17.12.2024;CS308;None;0;0;0;0;0;0
18.12.2024;CS308;None;0;0;0;0;0;0
19.12.2024;CS308;IC;168;131;30;7;0;0
20.12.2024;CS308;None;0;0;0;0;0;0
21.12.2024;CS308;None;0;0;0;0;0;0
22.12.2024;CS308;None;0;0;0;0;0;0
23.12.2024;CS308;None;0;0;0;0;0;0
24.12.2024;CS308;IC;58;57;1;0;0;0
25.12.2024;CS308;None;0;0;0;0;0;0
26.12.2024;CS308;None;0;0;0;0;0;0
27.12.2024;CS308;None;0;0;0;0;0;0
28.12.2024;CS308;None;0;0;0;0;0;0
29.12.2024;CS308;None;0;0;0;0;0;0
30.12.2024;CS308;None;0;0;0;0;0;0
31.12.2024;CS308;None;0;0;0;0;0;0
1.01.2025;CS308;None;0;0;0;0;0;0
2.01.2025;CS308;None;0;0;0;0;0;0
3.01.2025;CS308;None;0;0;0;0;0;0
4.01.2025;CS308;None;0;0;0;0;0;0
5.01.2025;CS308;Room;337;0;0;149;108;180
6.01.2025;CS308;None;0;0;0;0;0;0
